slug	hitid	workerid
SN208_pottedplant1_2	362E9TQF2HQJPN9EFUCWLVWARZGIGW	A1MIR0TP081SKT
SN208_pottedplant1_3	3I01FDIL6M8C2ILLO1QWSUMWPB3D26	A2GGOFEYHTHGBT
SN208_pottedplant1_4	3P6ENY9P79WXPJ4PZ0UE6V8B6ZTIHV	A2S3MXU8T2I5H0
SN208_table1_1	3PMR2DOWOO1R1JLFD9R1NXV2W8154M	AEOXYOJ3II8D8
SN208_table1_2	3SSN80MU8COLH4US47XCMXBIMT0XKD	A21G010TCSMZZ8
SN208_table1_3	3GVPRXWRPHU0WUYDMR82FIJHSWX7II	A2GGOFEYHTHGBT
SN208_table1_4	3MVY4USGB6NMFSI5AU6DA9FDFA9SIP	A2Q8Q1BE2JQR4C
SN208_table1_5	32PT7WK7DMF1N0H4S141B4ROVP3D3H	A38NFX88VZDMJ3
SN208_table1_6	3XBXDSS888JW1ACAP79D1XOXBT5XLG	A2GGOFEYHTHGBT
SN208_table1_7	3L1EFR8WWT5K0MKG0G01QHXV7USF9A	ACCNVAEC3TJ0C
SN208_table1_8	3T6SSHJUZFAXLEF95ICZ679Q6C8IIO	A36SRPSHIJXYUH
SN208_table2_1	302OLP89DZ7R2TAB1KO0E6NCGZICAB	AVA8T3R5AJB3S
SN208_table2_2	3ABAOCJ4R84WYVTJ35F0727TEV8MQA	A9E9L9MWEZOPN
SN208_table2_3	3IWA71V4TIGEIP93233BCE60LYG6XH	A1MIR0TP081SKT
SN208_table2_4	30OITAWPBQ34EIBMV6O1T298N95H9A	A21G010TCSMZZ8
SN208_table2_5	3L7SUC0TTUU8A2OKM7LLSWGB1RB0MR	AHI8X7NP92DAV
SN208_table2_6	3M93N4X8HKNIA32BSCRDMAUDSPYSJ1	A2HLYAZWDB6Z03
