slug	hitid	workerid
FB209_2_nature_valley_sweet_and_salty_nut_almond	3EN4YVUOUCSQ6KOAMMX0LIB56X2XJ1	A3G7GSX2R7723Z
FB209_2_nature_valley_sweet_and_salty_nut_cashew_2	3UQVX1UPFSHI3YKRCP21DN2DUFW02N	AMPFH3OAXMTT0
FB209_2_nutrigrain_harvest_blueberry_bliss_1	3XT3KXP24ZYHSUK83H3A94JLWEEI6G	A1C7UV2UT2S9T7
FB209_2_nutrigrain_harvest_blueberry_bliss_2	3OLZC0DJ8JF27KZ94PBILWZKD76IV8	A3DY78Q4FCWTXX
FB209_2_nutrigrain_harvest_blueberry_bliss_3	38RHULDV9YFFM9ZEUZGE7YIYKG8IWI	A3G7GSX2R7723Z
FB209_2_pepto_bismol_1	3H1C3QRA01JUS6RNHPQMAPD307ICET	A2EOOF9D135HQ1
FB209_2_pepto_bismol_2	31KSVEGZ34SSF82XKMANLQJP7CQRWU	A2BI6LJSH72Z8F
FB209_2_pringles_bbq_1	32204AGAABCJTSYU9CUBLJVVQF3GHO	A152473CBYVS7
FB209_2_pringles_bbq_2	3AQN9REUTFG233ESHMXR1YN13J0DYA	A17E3BSIFFL26B
FB209_2_pringles_bbq_3	3E9ZFLPWOYSUB94444C09HW5TIEIXB	A2F9V69F6TZIAB
FB209_2_progresso_new_england_clam_chowder_1	3EFNPKWBMSO7OGGAGPG6WX750TW03Y	A15HSFX39V7F18
FB209_2_progresso_new_england_clam_chowder_2	337F8MIIMZDS6CZEG3LP62ZBETS04J	A2EOOF9D135HQ1
FB209_2_progresso_new_england_clam_chowder_3	3EHIMLB7F7Z40DSCQEINT6EX2WQ8H0	AJ3F5RR0P8LZR
FB209_2_quaker_chewy_low_fat_chocolate_chunk_1	3VADEH0UHCXEWE59NPWXJ6GP0H6PSL	A2F9V69F6TZIAB
FB209_2_quaker_chewy_low_fat_chocolate_chunk_2	3R5OYNIC2C9FBEIOCP1NTBCB20KPTA	A2BI6LJSH72Z8F
FB209_2_red_bull_1	3FI30CQHVKJ75M62X7BTNHF81OVB61	AZMJHIX05LZ7D
FB209_2_red_bull_2	34XASH8KLQMBYJS43S0B7XHJ8SOMP6	A2EOOF9D135HQ1
FB209_2_softsoap_clear_1	3IHWR4LC7DD4W83WWW08TIFC2958IT	AJ3F5RR0P8LZR
FB209_2_softsoap_clear_2	3Y3CZJSZ9KTY2PNDOLNEVQ6CNFN5RS	AEOXYOJ3II8D8
FB209_2_softsoap_white_1	3YZ7A3YHR5TA34NQ3ANJL0B89H65SG	ARR3CB6CY396G
FB209_2_softsoap_white_2	3MG8450X2OAUBRXDCURXY7YDLERPU1	AA0QKSSEQ0B6Q
FB209_2_spongebob_squarepants_fruit_snaks_1	35XW21VSVGEO5TQBVX3Q2P75V76LSK	AVA8T3R5AJB3S
FB209_2_spongebob_squarepants_fruit_snaks_2	3UUIU9GZC55BI405SAS9V57UB0K5T5	A2BI6LJSH72Z8F
Room15_aunt_jemima_original_syrup_1	3Y3N5A7N4G957XK5UFWUKOAVCZWMY9	A3S8AE0YTJ7WUY
Room15_aunt_jemima_original_syrup_2	34OWYT6U3WH4ADM61O6MTEANMHR9IR	A1QUI9OOTG3LOR
Room15_aunt_jemima_original_syrup_3	32FESTC2NHQBH2O97P5RE7Z6MXHUC1	A3BMQYFH00D4E6
Room15_aunt_jemima_original_syrup_4	3GONHBMNHVY5CNUAQ1YDYVJXIT0MZ0	A2F9V69F6TZIAB
Room15_bumblebee_albacore_3	33IXYHIZB5IHUOZLKW1GYC4HOIB2EK	A2F9V69F6TZIAB
Room15_bumblebee_albacore_4	3EN4YVUOUCSQ6KOAMMX0LIB56Z7JXW	A2F9V69F6TZIAB
Room15_cholula_chipotle_hot_sauce_1	3SZYX62S5G0OK63YF7P8Q9FCM5Y572	AUPKE99RYOP92
Room15_cholula_chipotle_hot_sauce_2	344M16OZKIFDJAOE6FZ0Q07FZD1ENM	A1VPE05UDNFKGV
Room15_crystal_hot_sauce_1	39N6W9XWRDN5FNOJJCYZ7JQYGDKGYV	A38NFX88VZDMJ3
Room15_crystal_hot_sauce_2	3UL5XDRDNCJSKK8HPCHE49B7XP458P	AE861G0AY5RGT
Room15_hersheys_bar_1	3VGET1QSZ0ZIXPIIB8CHG9SP620W78	A1QUI9OOTG3LOR
Room15_hersheys_bar_2	3LEG2HW4UFN902ZHF7LMGUPH0JQ2F2	A1QUI9OOTG3LOR
Room15_hersheys_bar_3	39WSF6KUV2LV1VOQ7UZD5P7KPN6EO1	AE861G0AY5RGT
Room15_hunts_sauce_1	3VCK0Q0PO5EESK9KY80L5B5B5CRN09	A26I483LQESBJP
Room15_hunts_sauce_2	3W5PY7V3UP7F6PEKRIJ24WIE851JY2	A2VYLJXZQG8YKS
Room15_hunts_sauce_3	3R868ACW4SC5KDYOFY0ILQZ0M7OGZM	AE861G0AY5RGT
Room15_hunts_sauce_4	3126F2F5F83DMV0RMUCSUPCAZS2EPI	A30PM5MKJ7J1RQ
Room15_hunts_sauce_5	35U0MRQMUJ7C36AC2KON5TV6PI9OVH	A1QUI9OOTG3LOR
Room15_mahatma_rice_1	3HXK2V1N4KFFE2VCQRR4YFPT1YQ2G1	A1MIR0TP081SKT
Room15_mahatma_rice_2	37G6BXQPLQLYM716M7RHUU2K4OOEQ9	AZMJHIX05LZ7D
Room15_mahatma_rice_3	3FVBZG9CLJEMION9VA580R8FJ0IH0U	A1QUI9OOTG3LOR
Room15_mahatma_rice_4	32TMVRKDGNYAO14HB7Y4ZH5TXT848I	A1JT01SO8IAU18
Room15_nature_valley_granola_thins_dark_chocolate_1	3BC9H1KCYUC1C9EJYH2HTMCMA1AWYA	A2F9V69F6TZIAB
Room15_nature_valley_granola_thins_dark_chocolate_2	3UY4PIS8QRLEZ9U2UR4LJGOLA4X1NQ	AE861G0AY5RGT
Room15_nature_valley_granola_thins_dark_chocolate_6	39AYGO6AFFK96VVZ0XG2ECF2IFD6NT	AE861G0AY5RGT
Room15_nature_valley_sweet_and_salty_nut_peanut_1	3LG268AV386YY8G6ZMGHZKCP0AQERA	AE861G0AY5RGT
Room15_nature_valley_sweet_and_salty_nut_peanut_2	3O0M2G5VC62A26NRGZ4IZD04HZQ497	A2F9V69F6TZIAB
Room15_nature_valley_sweet_and_salty_nut_roasted_mix_nut_2	3V0TR1NRVA2O7PXW85IIV8BONH84AM	AVGBZLJE6QX56
Room15_nutrigrain_harvest_blueberry_bliss_1	3TFJJUELSHP2XQF7O5VL8O4E36XC20	A1QUI9OOTG3LOR
Room15_nutrigrain_harvest_blueberry_bliss_3	3EHVO81VN5LMPD8RRT98EWRPOSOH1X	A2F9V69F6TZIAB
Room15_nutrigrain_harvest_blueberry_bliss_4	3I7KR83SNADVG8CU1RRY6UP0ELG9K2	A30PM5MKJ7J1RQ
Room15_nutrigrain_harvest_blueberry_bliss_5	3XAOZ9UYRZRZ267UAJW2NAJQFFK1QD	A1WF1X8PQQJ2OQ
Room15_pringles_bbq_1	3X2LT8FDHWIMX3N1LD4NU9OKHM6W8V	A2F9V69F6TZIAB
Room15_pringles_bbq_2	3UEBBGULPFOIKE8JYRVSMDK9JA9UFC	A38NFX88VZDMJ3
Room15_pringles_bbq_3	301KG0KX9CLTEYQNAX9MJF1UGY2H2E	A2F9V69F6TZIAB
Room15_pringles_bbq_4	3BAKUKE49HCZE7MUNYL2S0TVB1M1RE	A2VYLJXZQG8YKS
Room15_pringles_bbq_6	3QXFBUZ4ZKGOYE4E9B1A4YKLKP9UGB	A1QUI9OOTG3LOR
Room15_progresso_new_england_clam_chowder_1	3PA41K45VN4SDGLHZMYMOFKTD5Z7PQ	A11B8S0VB7SBS4
Room15_progresso_new_england_clam_chowder_2	301KG0KX9CLTEYQNAX9MJF1UGY32H0	A1QUI9OOTG3LOR
Room15_progresso_new_england_clam_chowder_3	3TX9T2ZCB911HZOOU3407TLOGVEWZ1	A2F9V69F6TZIAB
Room15_quaker_chewy_low_fat_chocolate_chunk_1	3E24UO25QZQROGVB1CGFT1F78PI6O8	A1QUI9OOTG3LOR
Room15_quaker_chewy_low_fat_chocolate_chunk_2	3B6F54KMR2CBFMM72NL7IAYRX351S2	A1QUI9OOTG3LOR
Room15_quaker_chewy_low_fat_chocolate_chunk_3	3VI0PC2ZAYK47VF72ZP5TESR5THOXK	AUPKE99RYOP92
Room15_red_bull_1	3V7ICJJAZAGTQZ2OEJIEQJVU5ZT4BH	A2F9V69F6TZIAB
Room15_red_bull_2	341YLJU21IZTAT17GFR7JR29GBI2IT	A3I5XROYUMUV29
Room15_red_bull_4	368IUKXGA5899G7CGCTUI1KXIUE6PP	AE861G0AY5RGT
Room15_red_bull_5	34YWR3PJ28AJ4ENO0ENU3DW97Q1X03	A1QXPLAV5TUWU3
Room15_softsoap_clear_2	34F34TZU7WZP54LDYXC7VSH9TQ72J5	A2FSHCRZ3NBN6G
Room15_softsoap_clear_3	3CMIQF80GNQU9S8RGP8JI6A7NQ06QG	A2F9V69F6TZIAB
